Case_no, Dissipation(W-mt), Water level change(mt),  delta(TKE): 
1	 15.988050992	, 0.0184379816055	, 14.2371245259	 
2	 16.5091413588	, 0.0139105618		, 14.0455785838	 
3	 16.0162364953	, 0.018279761076	, 14.2541808888	 
4	 15.9950062635	, 0.0184308439493	, 14.2482149039	 
5	 16.031013894	, 0.0180873274803	, 14.1999711465	 
6	 16.4591805728	, 0.0138227790594	, 14.0364497672	 
7	 16.0958399347	, 0.0169755965471	, 14.1380069571	 
8	 15.8507283664	, 0.0202674865723	, 14.4463701068	 
9	 16.0756913774	, 0.0169810801744	, 14.1527590287	 
10	 15.9252388918	, 0.0192199200392	, 14.3241322682	 
11	 16.4300584195	, 0.0141587406397	, 14.0360319663	 
12	 16.1259258441	, 0.0167327225208	, 14.0977375517	 
13	 16.468167841	, 0.0138774067163	, 14.0372393631	 
14	 16.0500669239	, 0.0175476521254	, 14.1585762206	 
15	 16.2200416835	, 0.0161148309708	, 14.0769315086	
